,CLASS,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
,CLM,0.0075,0.0044,-0.0077,0.0163,-0.0211,-0.0066,-0.0039,-0.0021,-0.0316,-0.0235
,CLM,0.0032,-0.0042,-0.0103,0.0385,-0.0051,-0.0028,0.0006,-0.0045,-0.0138,-0.0004
,CLM,0.0025,-0.0032,-0.0115,0.0355,-0.0109,-0.0029,-0.0013,-0.0036,-0.0255,-0.0338
,CLM,0.0062,-0.0016,-0.0108,0.0357,-0.0126,-0.0067,-0.0009,-0.0063,-0.019,-0.0095
,CLM,0.0055,-0.0013,-0.0103,0.0326,-0.0167,-0.0054,-0.0022,-0.0063,-0.016,-0.009
,CLM,0.0062,0.0028,-0.0081,0.0202,-0.0172,-0.0066,0.0004,-0.0171,-0.0255,0.0023
,CLM,-0.0093,0.0007,-0.0067,0.0213,-0.0044,-0.0046,-0.0024,-0.0083,-0.0218,-0.0293
,CLM,-0.002,-0.0023,-0.0082,0.0302,-0.0097,-0.0064,-0.0009,-0.001,-0.0224,-0.0318
,FIN,0.0105,0.0069,-0.0062,-0.0006,0.0838,0.0213,0.0004,-0.0316,-0.0626,-0.0039
,FIN,0.0103,0.0073,-0.0054,0.0003,0.0764,0.0206,0.0007,-0.0347,-0.0436,0.0372
,FIN,0.0103,0.0086,-0.0063,-0.002,0.0596,0.0151,0.0019,-0.0191,-0.0398,-0.0065
,FIN,0.01,0.0071,-0.006,-0.0006,0.072,0.0221,-0.0003,-0.0346,-0.0397,0.0368
,FIN,0.0099,0.0065,-0.0059,0,0.0776,0.018,0.0027,-0.0383,-0.0524,0.0148
,FIN,0.0101,0.0078,-0.0052,-0.0019,0.0699,0.0159,0.0003,-0.0237,-0.042,0.0009
,FIN,0.0101,0.007,-0.0051,-0.001,0.0742,0.0205,0.0001,-0.0312,-0.0369,0.0161
,FIN,0.0099,0.0074,-0.0047,-0.0012,0.0708,0.0216,-0.0016,-0.0257,-0.039,0.0064
,FIN,0.0092,0.0082,-0.0038,-0.0031,0.0462,0.0106,-0.0009,-0.0255,-0.0522,0.0043
,FIN,0.0095,0.0069,-0.0055,0.0011,0.0749,0.0219,0.0027,-0.0295,-0.037,0.0393
,FIN,0.0101,0.0072,-0.0043,-0.0007,0.077,0.02,0.0009,-0.0267,-0.053,0.0018
,FIN,0.0099,0.0064,-0.0051,-0.0015,0.0818,0.0233,-0.0044,-0.0299,-0.0519,0.0175
,FIN,0.0101,0.0074,-0.0055,-0.0006,0.078,0.0214,-0.0004,-0.035,-0.0489,0.0205
,FIN,0.0094,0.0071,-0.0062,-0.0006,0.0799,0.0213,0.0027,-0.0381,-0.0547,0.0464
,FIN,0.01,0.0079,-0.0046,-0.0008,0.0708,0.0147,0.0013,-0.027,-0.0364,0.0354
,FIN,0.0099,0.007,-0.006,-0.0014,0.0672,0.0169,-0.0012,-0.023,-0.0489,-0.0018
,FIN,0.0098,0.0086,-0.004,-0.002,0.059,0.018,0.0027,-0.0164,-0.0413,-0.016
,FIN,0.0097,0.0074,-0.0055,-0.0018,0.0718,0.0212,0.005,-0.0361,-0.0508,0.0224
,FIN,0.0099,0.0069,-0.0047,-0.0021,0.0795,0.0223,-0.0002,-0.0305,-0.0468,0.0157
,FIN,0.01,0.0081,-0.0053,-0.0025,0.0665,0.0204,0.0004,-0.0197,-0.0409,-0.0102
,FIN,0.0101,0.0077,-0.0047,0,0.0829,0.0234,0.0036,-0.0337,-0.041,0.0369
,FIN,0.0099,0.0066,-0.0045,-0.002,0.0881,0.023,0.0024,-0.0339,-0.0629,0.0186
,FIN,0.0095,0.0067,-0.0037,-0.0013,0.0811,0.0273,0.0015,-0.0332,-0.0544,0.0233
,FIN,0.0101,0.0077,-0.0062,-0.0026,0.0627,0.0166,-0.0013,-0.0245,-0.0365,0.024
,FIN,0.0107,0.0085,-0.006,-0.0015,0.0709,0.0197,0.0014,-0.0241,-0.0501,-0.015
,FIN,0.0101,0.0086,-0.0059,-0.0033,0.0623,0.0201,0.0049,-0.0181,-0.0392,0.0168
,FIN,0.0096,0.0075,-0.0058,0.0003,0.0771,0.0168,0.0047,-0.0333,-0.0633,-0.0077
,FIN,0.0103,0.0088,-0.0043,-0.0018,0.0573,0.017,-0.0015,-0.008,-0.03,-0.0204
,FIN,0.0098,0.0076,-0.0041,-0.0005,0.0762,0.021,0.0068,-0.0344,-0.0562,0.0159
,FIN,0.0101,0.0075,-0.0053,-0.0013,0.075,0.0226,0.0024,-0.0262,-0.0391,0.0288
,FIN,0.0103,0.0074,-0.0061,0.0003,0.0733,0.0221,0.0017,-0.0272,-0.0398,0.0336
,FIN,0.0098,0.0071,-0.0052,-0.0025,0.0791,0.018,0.0019,-0.0295,-0.043,0.0155
,FIN,0.0104,0.0078,-0.0048,-0.0017,0.0738,0.0207,-0.0001,-0.0241,-0.0345,0.0286
,FIN,0.01,0.0068,-0.0051,-0.0018,0.083,0.0237,-0.0029,-0.0346,-0.065,-0.0104
,FIN,0.01,0.0071,-0.0036,0.0003,0.0833,0.0197,0.0025,-0.0408,-0.0691,-0.0018
,FIN,0.0103,0.0067,-0.0044,0.0004,0.0856,0.0237,0.0042,-0.0377,-0.0555,0.025
,FIN,0.0098,0.0076,-0.0048,-0.0011,0.0828,0.0237,0.0032,-0.034,-0.0587,0.0293
,FIN,0.0102,0.0087,-0.0034,-0.0018,0.0662,0.016,0.004,-0.0137,-0.0272,-0.015
,FIN,0.01,0.0072,-0.0059,-0.001,0.0718,0.0238,0.0031,-0.0256,-0.0486,0.0182
,FIN,0.0099,0.0073,-0.0066,-0.0008,0.0753,0.0209,0.0001,-0.0258,-0.0448,0.0013
,FIN,0.0103,0.0083,-0.0059,-0.0018,0.0674,0.0169,0.0009,-0.0149,-0.0366,-0.0155
,FIN,0.0105,0.009,-0.0067,-0.0018,0.0541,0.0195,0,-0.0148,-0.0296,-0.0131
,FIN,0.0098,0.0071,-0.0063,-0.001,0.0788,0.0211,0.0012,-0.0352,-0.0536,0.0226
